id,video_id,trending_date,category_id,publish_time,views,likes,dislikes,comment_count,Artist,Title,Author,publish_date
23500,-5aaJJQFvOg,2018-03-13,10,22:01:06,1448151,151782,2402,6832,Havana,swing cover | dodie feat. FLASHBACK,,2018-02-21
23476,-7tSTUR7FG0,2018-03-13,10,12:00:00,4461277,248484,994,12039,SMTOWN,NCT U 엔시티 유 'BOSS' Dance Practice,,2018-02-27
23538,08qd-vsHbaY,2018-03-13,10,02:34:17,687770,12062,293,888,BeachHouseVideoZone,BEACH HOUSE -- LEMON GLOW,,2018-02-15
23493,0XElmYomloA,2018-03-13,10,22:08:34,34869573,135097,4167,2706,Zion & Lennox,La Player (Bandolera) I Video Oficial,,2018-02-22
23375,2AAUadR6Hjw,2018-03-13,17,13:04:16,490146,6544,124,376,,The Fiorentina game comes to a halt in the 13th minute as they pay tribute to Davide Astori,BT Sport,2018-03-11
23456,2ATuTL5i0_c,2018-03-13,26,19:00:01,1170305,49647,2393,3385,,I tried following a Kylie Jenner Makeup Tutorial... Realizing things😂...,AdelaineMorin,2018-02-28
23435,2NlNEj2mCIg,2018-03-13,10,09:00:00,10058005,588320,11268,65262,Wanna One (워너원),'약속해요 (I.P.U.)' M/V l Special Theme Track,,2018-03-05
23442,2UByqalCfnk,2018-03-13,10,05:07:00,2521794,43354,1320,1172,Flo Rida,Dancer (Official Video),,2018-03-02
23447,2VggEmXPnGw,2018-03-13,22,07:00:01,1108910,34168,225,1251,,The Most Famous Actor You’ve Never Seen,Great Big Story,2018-03-02
23487,2YVMusIxisY,2018-03-13,24,09:00:00,654984,63456,206,8067,,김성규(Kim Sung Kyu) “True Love” Official MV,woolliment,2018-02-26
23475,2afSbqlp5HU,2018-03-13,1,12:26:49,432427,7603,1357,1556,,How to speak like Black Panther - BBC News,BBC News,2018-02-27
23571,2z3EUY1aXdY,2018-03-13,17,01:51:53,14232195,169229,53978,31895,,Justin Timberlake’s FULL Pepsi Super Bowl LII Halftime Show! | NFL Highlights,NFL,2018-02-05
23409,305ryPvU6A8,2018-03-13,28,05:00:32,6600032,85995,17019,0,,HomePod — Welcome Home by Spike Jonze — Apple,Apple,2018-03-06
23391,37lXjnflt9M,2018-03-13,10,19:30:00,1665702,66911,2488,3576,Years & Years,Sanctify (Official Video),,2018-03-07
23463,3adHok6ytJI,2018-03-13,24,22:21:47,249736,4954,201,493,,THE OUTLAW JOHNNY BLACK Trailer #1 NEW (2018) Michael Jai White Comedy Movie HD,MovieAccessTrailers,2018-03-02
23404,425M4M3Opkk,2018-03-13,1,17:00:01,7147394,142080,5659,17919,,Christopher Robin Official Teaser Trailer,Disney Movie Trailers,2018-03-06
23492,4AtOU0dDXv8,2018-03-13,25,04:50:21,5409636,69739,32285,75975,,Shooting survivor confronts NRA spokesperson Dana Loesch,CNN,2018-02-22
23558,4HOxZEdicuk,2018-03-13,1,01:26:38,1395426,17371,2040,858,,"I FEEL PRETTY Official Trailer (2018) Amy Schumer, Emily Ratajkowski Comedy Movie HD",ONE Media,2018-02-09
23429,4HU6Z7anycw,2018-03-13,1,00:32:18,5358761,273838,5278,16859,,Lucas the Spider - Polar Bear,Lucas the Spider,2018-03-04
23547,4uTNVumfm84,2018-03-13,10,14:00:00,43216239,618302,15842,23367,Maroon 5,Wait,,2018-02-08
23537,6J-D86wfxiE,2018-03-13,24,21:00:41,1515798,57288,636,4220,,Chadwick Boseman gets emotional while discussing impact of Black Panther,SiriusXM,2018-02-13
23373,6Km34EXxGZ4,2018-03-13,24,15:41:38,669592,50217,1263,13173,,I React to Mean Comments,TheReportOfTheWeek,2018-03-11
23473,73_OWzBr8Fo,2018-03-13,10,16:00:06,1447554,140773,1541,10473,Made in Miami (Artist Spotlight Story),Camila Cabello,,2018-02-27
23451,79dZ8JBTIL4,2018-03-13,24,12:42:19,146621,8824,72,332,,"If you were a chair, who would you let sit on you?: 5SOS answer 5 second fan questions",BBC Radio 1,2018-03-02
23549,7FM_MfpYOLU,2018-03-13,1,20:19:09,949443,69392,451,3915,,PEOPLE TELL THEIR CRUSH THEY LIKE THEM (vol. IX),Mikey Murphy,2018-02-11
23436,7HIt7pA4WqY,2018-03-13,15,17:00:01,369067,5660,1481,988,,"World's Smallest Cat - Cute, Tiny and Mean",TheMeanKitty,2018-03-03
23415,7Jz8wZbXuDA,2018-03-13,17,03:11:31,4274485,64106,3705,7792,,"Ronda Rousey gets her WrestleMania match: Raw, March 5, 2018",WWE,2018-03-06
