id,video_id,trending_date,category_id,publish_time,views,likes,dislikes,comment_count,Author,Title,Artist,publish_date
38741,-DRsfNObKIQ,2018-06-14,24.0,20:32:32,14317515.0,151870.0,45875.0,26766.0,Eurovision Song Contest,Eleni Foureira - Fuego - Cyprus - LIVE - First Semi-Final - Eurovision 2018,,2018-05-08
38579,-QPdRfqTnt4,2018-06-14,1.0,07:00:00,4427381.0,96391.0,5508.0,12726.0,Disney Movie Trailers,Dumbo Official Teaser Trailer,,2018-06-13
38694,-bx_vG94LSo,2018-06-14,10.0,12:00:00,3177766.0,92573.0,1301.0,4276.0,,Beautiful (Official Video),Bazzi,2018-05-23
38661,-kxPDAiuijo,2018-06-14,23.0,17:00:04,2265310.0,57277.0,843.0,4707.0,Beer Yoga with Chance the Rapper,Kevin Hart: What The Fit Episode 13 | Laugh Out Loud Network,,2018-05-31
38617,-uuq9V38Akw,2018-06-14,17.0,20:27:23,420228.0,2319.0,166.0,1019.0,ESPN,Brian Windhorst on LeBron's free agency: 'Everything is on the table' | The Jump | ESPN,,2018-06-08
38587,0-VAnh7r-_8,2018-06-14,20.0,01:30:02,1392609.0,38471.0,2932.0,21316.0,destinygame,Destiny 2: Forsaken - E3 Story Reveal Trailer,,2018-06-12
38634,11K013qpRR4,2018-06-14,24.0,12:50:30,3128325.0,38937.0,1198.0,6580.0,FilmSelect Trailer,The LEGO Movie 2 Trailer (2019),,2018-06-05
38714,14G7Qw5DC9M,2018-06-14,26.0,07:30:00,772049.0,7135.0,659.0,508.0,5-Minute Crafts,17 FUN LIFE HACKS YOU WILL WANT TO TRY YOURSELF,,2018-05-18
38712,1gSu12JpKP8,2018-06-14,10.0,10:00:00,2463668.0,47639.0,2778.0,1846.0,,Walking Trophy,HoodCelebrityy,2018-05-15
38588,1zNr8Pf1QkY,2018-06-14,25.0,09:14:15,2198480.0,23920.0,13221.0,19227.0,Guardian News,Robert de Niro's 'Fuck Trump' speech at Tony awards,,2018-06-11
38650,2MiQonPvlVM,2018-06-14,10.0,09:00:01,2361405.0,90036.0,3970.0,10271.0,,Yubin 숙녀 (淑女) M/V,jypentertainment,2018-06-05
38733,2PH7dK6SLC8,2018-06-14,10.0,17:00:01,3839019.0,79766.0,1662.0,5639.0,,New Light,John Mayer,2018-05-10
38665,2SJ0hgdciNE,2018-06-14,10.0,14:00:00,7877471.0,251597.0,6820.0,12339.0,,You Can Cry (Ft. James Arthur) (Official Video),Marshmello x Juicy J,2018-05-30
38646,2h_TxIxx-Kg,2018-06-14,24.0,13:00:01,93749.0,1208.0,62.0,250.0,BigBoyTV,"Diddy & King Combs on The Four, Rap Beef, NFL & A Lot More",,2018-06-07
38670,35aEjj8C4Cg,2018-06-14,24.0,01:26:05,640971.0,43481.0,1880.0,14678.0,Jeremy Jahns,Fans Vs Disney Star Wars: The Current State Of Things,,2018-05-31
38645,36DAv_m8Mlw,2018-06-14,10.0,13:48:48,933283.0,30992.0,552.0,1224.0,,Colour (Lyric Video) ft. Hailee Steinfeld,MNEK,2018-06-01
38638,3KmIMuLh4Vs,2018-06-14,10.0,16:29:06,442492.0,17004.0,178.0,1670.0,,The Rover,Interpol,2018-06-07
38660,3p-lyt78cyA,2018-06-14,24.0,11:00:01,940627.0,51412.0,1890.0,4439.0,Nerdwriter1,The Problem With DC Action Scenes,,2018-06-01
38719,3rkXFyt7EXw,2018-06-14,10.0,16:29:24,10589247.0,296411.0,8077.0,15313.0,,Welcome To The Party (Deadpool 2 Soundtrack),"Diplo, French Montana & Lil Pump ft. Zhavia",2018-05-15
38647,3uGIEY7tdg8,2018-06-14,1.0,13:00:02,2199149.0,15097.0,1393.0,1912.0,Amazon Studios,Suspiria - Teaser Trailer | Amazon Studios,,2018-06-04
38624,41PTANtZFW0,2018-06-14,10.0,16:00:00,3657305.0,272706.0,8408.0,24623.0,,Bloom,Troye Sivan,2018-06-06
38687,4KtBBzHWmTI,2018-06-14,10.0,16:00:12,1816550.0,78149.0,748.0,5420.0,,Mike Shinoda,Running From My Shadow [feat. grandson] (Official Video),2018-05-24
38742,4YFo4bdMO8Q,2018-06-14,10.0,04:06:35,607552.0,18271.0,274.0,1423.0,,Ikuyo feat.  2 Chainz & Sophia Black [Audio],KYLE,2018-05-11
38677,5w1GdX44DHc,2018-06-14,17.0,01:44:32,3184455.0,27766.0,2797.0,1335.0,My Funny Games Builder,Champions League Final 2018 • Real Madrid vs Liverpool 3-1 • Kiev All Goals Highlights Lego Football,,2018-05-27
38710,6SuMbFuKDf8,2018-06-14,10.0,04:00:01,18897251.0,444666.0,17061.0,42731.0,,Don't Go Breaking My Heart (Official Video),Backstreet Boys,2018-05-17
38705,6ULbkqAuo48,2018-06-14,22.0,02:44:36,108395.0,8335.0,316.0,2398.0,Alex Becker's Channel,Disney : PROOF Your SJW Staff Hates Star Wars,,2018-05-21
